formula,Elements,Metal_NonMetal,Electronegativity,Num_Elements,Atomic_Composition,Is_Metal
UI2,"['U', 'I']","['U - Metal', 'I - Non-Metal']","[1.38, 2.66]",2,"{'U': 1.0, 'I': 2.0}",TRUE
AsGe2,"['As', 'Ge']","['As - Non-Metal', 'Ge - Non-Metal']","[2.18, 2.01]",2,"{'As': 1.0, 'Ge': 2.0}",TRUE
Tm2Sn3O5,"['Tm', 'Sn', 'O']","['Tm - Metal', 'Sn - Metal', 'O - Non-Metal']","[1.25, 1.96, 3.44]",3,"{'Tm': 2.0, 'Sn': 3.0, 'O': 5.0}",FALSE
ClTc5Be7,"['Cl', 'Tc', 'Be']","['Cl - Non-Metal', 'Tc - Metal', 'Be - Metal']","[3.16, 1.9, 1.57]",3,"{'Cl': 1.0, 'Tc': 5.0, 'Be': 7.0}",FALSE
MnPo2,"['Mn', 'Po']","['Mn - Metal', 'Po - Non-Metal']","[1.55, 2.0]",2,"{'Mn': 1.0, 'Po': 2.0}",TRUE
HgS2Mn5Pb5,"['Hg', 'S', 'Mn', 'Pb']","['Hg - Metal', 'S - Non-Metal', 'Mn - Metal', 'Pb - Metal']","[2.0, 2.58, 1.55, 2.33]",4,"{'Hg': 1.0, 'S': 2.0, 'Mn': 5.0, 'Pb': 5.0}",FALSE
MgNbBi3Tl6,"['Mg', 'Nb', 'Bi', 'Tl']","['Mg - Metal', 'Nb - Metal', 'Bi - Metal', 'Tl - Metal']","[1.31, 1.6, 2.02, 1.62]",4,"{'Mg': 1.0, 'Nb': 1.0, 'Bi': 3.0, 'Tl': 6.0}",TRUE
RuSe3,"['Ru', 'Se']","['Ru - Metal', 'Se - Non-Metal']","[2.2, 2.55]",2,"{'Ru': 1.0, 'Se': 3.0}",FALSE
Po2W3Os4,"['Po', 'W', 'Os']","['Po - Non-Metal', 'W - Metal', 'Os - Metal']","[2.0, 2.36, 2.2]",3,"{'Po': 2.0, 'W': 3.0, 'Os': 4.0}",FALSE
ZnBr2Ir7,"['Zn', 'Br', 'Ir']","['Zn - Metal', 'Br - Non-Metal', 'Ir - Metal']","[1.65, 2.96, 2.2]",3,"{'Zn': 1.0, 'Br': 2.0, 'Ir': 7.0}",FALSE
FmSe3Hg3,"['Fm', 'Se', 'Hg']","['Fm - Metal', 'Se - Non-Metal', 'Hg - Metal']","[1.3, 2.55, 2.0]",3,"{'Fm': 1.0, 'Se': 3.0, 'Hg': 3.0}",TRUE
AtRe7,"['At', 'Re']","['At - Non-Metal', 'Re - Metal']","[2.2, 1.9]",2,"{'At': 1.0, 'Re': 7.0}",TRUE
RhC4Bi5,"['Rh', 'C', 'Bi']","['Rh - Metal', 'C - Non-Metal', 'Bi - Metal']","[2.28, 2.55, 2.02]",3,"{'Rh': 1.0, 'C': 4.0, 'Bi': 5.0}",FALSE
ClAt6,"['Cl', 'At']","['Cl - Non-Metal', 'At - Non-Metal']","[3.16, 2.2]",2,"{'Cl': 1.0, 'At': 6.0}",FALSE
ClC3,"['Cl', 'C']","['Cl - Non-Metal', 'C - Non-Metal']","[3.16, 2.55]",2,"{'Cl': 1.0, 'C': 3.0}",FALSE
At2Cm3Ge5,"['At', 'Cm', 'Ge']","['At - Non-Metal', 'Cm - Metal', 'Ge - Non-Metal']","[2.2, 1.3, 2.01]",3,"{'At': 2.0, 'Cm': 3.0, 'Ge': 5.0}",TRUE
Au2Po5,"['Au', 'Po']","['Au - Metal', 'Po - Non-Metal']","[2.54, 2.0]",2,"{'Au': 2.0, 'Po': 5.0}",FALSE
Fe3Ir3Sb5,"['Fe', 'Ir', 'Sb']","['Fe - Metal', 'Ir - Metal', 'Sb - Non-Metal']","[1.83, 2.2, 2.05]",3,"{'Fe': 3.0, 'Ir': 3.0, 'Sb': 5.0}",TRUE
S4H5Os7,"['S', 'H', 'Os']","['S - Non-Metal', 'H - Unknown', 'Os - Metal']","[2.58, 2.2, 2.2]",3,"{'S': 4.0, 'H': 5.0, 'Os': 7.0}",FALSE
MoI2Ir3B4,"['Mo', 'I', 'Ir', 'B']","['Mo - Metal', 'I - Non-Metal', 'Ir - Metal', 'B - Non-Metal']","[2.16, 2.66, 2.2, 2.04]",4,"{'Mo': 1.0, 'I': 2.0, 'Ir': 3.0, 'B': 4.0}",FALSE
I3Pt4Zr7,"['I', 'Pt', 'Zr']","['I - Non-Metal', 'Pt - Metal', 'Zr - Metal']","[2.66, 2.28, 1.33]",3,"{'I': 3.0, 'Pt': 4.0, 'Zr': 7.0}",TRUE
NdAt2,"['Nd', 'At']","['Nd - Metal', 'At - Non-Metal']","[1.14, 2.2]",2,"{'Nd': 1.0, 'At': 2.0}",TRUE
ClZrNi7,"['Cl', 'Zr', 'Ni']","['Cl - Non-Metal', 'Zr - Metal', 'Ni - Metal']","[3.16, 1.33, 1.91]",3,"{'Cl': 1.0, 'Zr': 1.0, 'Ni': 7.0}",FALSE
OZr,"['O', 'Zr']","['O - Non-Metal', 'Zr - Metal']","[3.44, 1.33]",2,"{'O': 1.0, 'Zr': 1.0}",FALSE
SiZr,"['Si', 'Zr']","['Si - Non-Metal', 'Zr - Metal']","[1.9, 1.33]",2,"{'Si': 1.0, 'Zr': 1.0}",TRUE
Xe,['Xe'],['Xe - Non-Metal'],[2.6],1,{'Xe': 1.0},FALSE
LiTbS2Tc7,"['Li', 'Tb', 'S', 'Tc']","['Li - Metal', 'Tb - Metal', 'S - Non-Metal', 'Tc - Metal']","[0.98, 1.1, 2.58, 1.9]",4,"{'Li': 1.0, 'Tb': 1.0, 'S': 2.0, 'Tc': 7.0}",TRUE
BIr2S3,"['B', 'Ir', 'S']","['B - Non-Metal', 'Ir - Metal', 'S - Non-Metal']","[2.04, 2.2, 2.58]",3,"{'B': 1.0, 'Ir': 2.0, 'S': 3.0}",FALSE
Lu2Er3S6,"['Lu', 'Er', 'S']","['Lu - Metal', 'Er - Metal', 'S - Non-Metal']","[1.27, 1.24, 2.58]",3,"{'Lu': 2.0, 'Er': 3.0, 'S': 6.0}",TRUE
At2Rh3W3B4,"['At', 'Rh', 'W', 'B']","['At - Non-Metal', 'Rh - Metal', 'W - Metal', 'B - Non-Metal']","[2.2, 2.28, 2.36, 2.04]",4,"{'At': 2.0, 'Rh': 3.0, 'W': 3.0, 'B': 4.0}",FALSE
I2Sc4Se5,"['I', 'Sc', 'Se']","['I - Non-Metal', 'Sc - Metal', 'Se - Non-Metal']","[2.66, 1.36, 2.55]",3,"{'I': 2.0, 'Sc': 4.0, 'Se': 5.0}",FALSE
OsUBr2,"['Os', 'U', 'Br']","['Os - Metal', 'U - Metal', 'Br - Non-Metal']","[2.2, 1.38, 2.96]",3,"{'Os': 1.0, 'U': 1.0, 'Br': 2.0}",FALSE
Md2Cl3Co7,"['Md', 'Cl', 'Co']","['Md - Metal', 'Cl - Non-Metal', 'Co - Metal']","[1.3, 3.16, 1.88]",3,"{'Md': 2.0, 'Cl': 3.0, 'Co': 7.0}",FALSE
PuB2Po3,"['Pu', 'B', 'Po']","['Pu - Metal', 'B - Non-Metal', 'Po - Non-Metal']","[1.28, 2.04, 2.0]",3,"{'Pu': 1.0, 'B': 2.0, 'Po': 3.0}",TRUE
OsNd2Sb3,"['Os', 'Nd', 'Sb']","['Os - Metal', 'Nd - Metal', 'Sb - Non-Metal']","[2.2, 1.14, 2.05]",3,"{'Os': 1.0, 'Nd': 2.0, 'Sb': 3.0}",TRUE
BeS2,"['Be', 'S']","['Be - Metal', 'S - Non-Metal']","[1.57, 2.58]",2,"{'Be': 1.0, 'S': 2.0}",TRUE
ClC2,"['Cl', 'C']","['Cl - Non-Metal', 'C - Non-Metal']","[3.16, 2.55]",2,"{'Cl': 1.0, 'C': 2.0}",FALSE
SeN6,"['Se', 'N']","['Se - Non-Metal', 'N - Non-Metal']","[2.55, 3.04]",2,"{'Se': 1.0, 'N': 6.0}",FALSE
S3Tc4,"['S', 'Tc']","['S - Non-Metal', 'Tc - Metal']","[2.58, 1.9]",2,"{'S': 3.0, 'Tc': 4.0}",FALSE
Br2Ho3At4,"['Br', 'Ho', 'At']","['Br - Non-Metal', 'Ho - Metal', 'At - Non-Metal']","[2.96, 1.23, 2.2]",3,"{'Br': 2.0, 'Ho': 3.0, 'At': 4.0}",FALSE
AsIrC2Br4,"['As', 'Ir', 'C', 'Br']","['As - Non-Metal', 'Ir - Metal', 'C - Non-Metal', 'Br - Non-Metal']","[2.18, 2.2, 2.55, 2.96]",4,"{'As': 1.0, 'Ir': 1.0, 'C': 2.0, 'Br': 4.0}",FALSE
RhP6,"['Rh', 'P']","['Rh - Metal', 'P - Non-Metal']","[2.28, 2.19]",2,"{'Rh': 1.0, 'P': 6.0}",FALSE
NbSb,"['Nb', 'Sb']","['Nb - Metal', 'Sb - Non-Metal']","[1.6, 2.05]",2,"{'Nb': 1.0, 'Sb': 1.0}",TRUE
MnBr2,"['Mn', 'Br']","['Mn - Metal', 'Br - Non-Metal']","[1.55, 2.96]",2,"{'Mn': 1.0, 'Br': 2.0}",FALSE
PoGe3Sm4,"['Po', 'Ge', 'Sm']","['Po - Non-Metal', 'Ge - Non-Metal', 'Sm - Metal']","[2.0, 2.01, 1.17]",3,"{'Po': 1.0, 'Ge': 3.0, 'Sm': 4.0}",TRUE
OCoAs2Ni6,"['O', 'Co', 'As', 'Ni']","['O - Non-Metal', 'Co - Metal', 'As - Non-Metal', 'Ni - Metal']","[3.44, 1.88, 2.18, 1.91]",4,"{'O': 1.0, 'Co': 1.0, 'As': 2.0, 'Ni': 6.0}",FALSE
SiZn2Dy2Pd3Po4,"['Si', 'Zn', 'Dy', 'Pd', 'Po']","['Si - Non-Metal', 'Zn - Metal', 'Dy - Metal', 'Pd - Metal', 'Po - Non-Metal']","[1.9, 1.65, 1.22, 2.2, 2.0]",5,"{'Si': 1.0, 'Zn': 2.0, 'Dy': 2.0, 'Pd': 3.0, 'Po': 4.0}",TRUE
PoC6,"['Po', 'C']","['Po - Non-Metal', 'C - Non-Metal']","[2.0, 2.55]",2,"{'Po': 1.0, 'C': 6.0}",FALSE
UFe3O4,"['U', 'Fe', 'O']","['U - Metal', 'Fe - Metal', 'O - Non-Metal']","[1.38, 1.83, 3.44]",3,"{'U': 1.0, 'Fe': 3.0, 'O': 4.0}",FALSE
GeYbB2,"['Ge', 'Yb', 'B']","['Ge - Non-Metal', 'Yb - Metal', 'B - Non-Metal']","[2.01, 1.1, 2.04]",3,"{'Ge': 1.0, 'Yb': 1.0, 'B': 2.0}",TRUE
PAs,"['P', 'As']","['P - Non-Metal', 'As - Non-Metal']","[2.19, 2.18]",2,"{'P': 1.0, 'As': 1.0}",FALSE
ClTa3,"['Cl', 'Ta']","['Cl - Non-Metal', 'Ta - Metal']","[3.16, 1.5]",2,"{'Cl': 1.0, 'Ta': 3.0}",FALSE
LiRe2Rh3Te4,"['Li', 'Re', 'Rh', 'Te']","['Li - Metal', 'Re - Metal', 'Rh - Metal', 'Te - Non-Metal']","[0.98, 1.9, 2.28, 2.1]",4,"{'Li': 1.0, 'Re': 2.0, 'Rh': 3.0, 'Te': 4.0}",TRUE
Mn2Po5,"['Mn', 'Po']","['Mn - Metal', 'Po - Non-Metal']","[1.55, 2.0]",2,"{'Mn': 2.0, 'Po': 5.0}",TRUE
Lu2B3O3V6,"['Lu', 'B', 'O', 'V']","['Lu - Metal', 'B - Non-Metal', 'O - Non-Metal', 'V - Metal']","[1.27, 2.04, 3.44, 1.63]",4,"{'Lu': 2.0, 'B': 3.0, 'O': 3.0, 'V': 6.0}",TRUE
CaFe2Ni2I5,"['Ca', 'Fe', 'Ni', 'I']","['Ca - Metal', 'Fe - Metal', 'Ni - Metal', 'I - Non-Metal']","[1.0, 1.83, 1.91, 2.66]",4,"{'Ca': 1.0, 'Fe': 2.0, 'Ni': 2.0, 'I': 5.0}",TRUE
AuAtPd3Fe6,"['Au', 'At', 'Pd', 'Fe']","['Au - Metal', 'At - Non-Metal', 'Pd - Metal', 'Fe - Metal']","[2.54, 2.2, 2.2, 1.83]",4,"{'Au': 1.0, 'At': 1.0, 'Pd': 3.0, 'Fe': 6.0}",FALSE
NiReGe3Po5,"['Ni', 'Re', 'Ge', 'Po']","['Ni - Metal', 'Re - Metal', 'Ge - Non-Metal', 'Po - Non-Metal']","[1.91, 1.9, 2.01, 2.0]",4,"{'Ni': 1.0, 'Re': 1.0, 'Ge': 3.0, 'Po': 5.0}",TRUE
SbRe,"['Sb', 'Re']","['Sb - Non-Metal', 'Re - Metal']","[2.05, 1.9]",2,"{'Sb': 1.0, 'Re': 1.0}",TRUE
BrGe7,"['Br', 'Ge']","['Br - Non-Metal', 'Ge - Non-Metal']","[2.96, 2.01]",2,"{'Br': 1.0, 'Ge': 7.0}",FALSE
PdXe2W6,"['Pd', 'Xe', 'W']","['Pd - Metal', 'Xe - Non-Metal', 'W - Metal']","[2.2, 2.6, 2.36]",3,"{'Pd': 1.0, 'Xe': 2.0, 'W': 6.0}",FALSE
Tc2Rn2Sn3,"['Tc', 'Rn', 'Sn']","['Tc - Metal', 'Rn - Non-Metal', 'Sn - Metal']","[1.9, 2.2, 1.96]",3,"{'Tc': 2.0, 'Rn': 2.0, 'Sn': 3.0}",TRUE
TcPo2Pr3Sb4,"['Tc', 'Po', 'Pr', 'Sb']","['Tc - Metal', 'Po - Non-Metal', 'Pr - Metal', 'Sb - Non-Metal']","[1.9, 2.0, 1.13, 2.05]",4,"{'Tc': 1.0, 'Po': 2.0, 'Pr': 3.0, 'Sb': 4.0}",TRUE
RhBr3Re6,"['Rh', 'Br', 'Re']","['Rh - Metal', 'Br - Non-Metal', 'Re - Metal']","[2.28, 2.96, 1.9]",3,"{'Rh': 1.0, 'Br': 3.0, 'Re': 6.0}",FALSE
Se2Ru2Mn7,"['Se', 'Ru', 'Mn']","['Se - Non-Metal', 'Ru - Metal', 'Mn - Metal']","[2.55, 2.2, 1.55]",3,"{'Se': 2.0, 'Ru': 2.0, 'Mn': 7.0}",TRUE
InO2,"['In', 'O']","['In - Metal', 'O - Non-Metal']","[1.78, 3.44]",2,"{'In': 1.0, 'O': 2.0}",FALSE
Bi2Mo3,"['Bi', 'Mo']","['Bi - Metal', 'Mo - Metal']","[2.02, 2.16]",2,"{'Bi': 2.0, 'Mo': 3.0}",TRUE
YZr2Se4,"['Y', 'Zr', 'Se']","['Y - Metal', 'Zr - Metal', 'Se - Non-Metal']","[1.22, 1.33, 2.55]",3,"{'Y': 1.0, 'Zr': 2.0, 'Se': 4.0}",TRUE
Br2S5,"['Br', 'S']","['Br - Non-Metal', 'S - Non-Metal']","[2.96, 2.58]",2,"{'Br': 2.0, 'S': 5.0}",FALSE
YbAs2Se4,"['Yb', 'As', 'Se']","['Yb - Metal', 'As - Non-Metal', 'Se - Non-Metal']","[1.1, 2.18, 2.55]",3,"{'Yb': 1.0, 'As': 2.0, 'Se': 4.0}",TRUE
ITh3S4,"['I', 'Th', 'S']","['I - Non-Metal', 'Th - Metal', 'S - Non-Metal']","[2.66, 1.3, 2.58]",3,"{'I': 1.0, 'Th': 3.0, 'S': 4.0}",FALSE
KrCo2,"['Kr', 'Co']","['Kr - Non-Metal', 'Co - Metal']","[3.0, 1.88]",2,"{'Kr': 1.0, 'Co': 2.0}",FALSE
Sb2Rn3,"['Sb', 'Rn']","['Sb - Non-Metal', 'Rn - Non-Metal']","[2.05, 2.2]",2,"{'Sb': 2.0, 'Rn': 3.0}",FALSE
N2Ac2Br3Mn7,"['N', 'Ac', 'Br', 'Mn']","['N - Non-Metal', 'Ac - Metal', 'Br - Non-Metal', 'Mn - Metal']","[3.04, 1.1, 2.96, 1.55]",4,"{'N': 2.0, 'Ac': 2.0, 'Br': 3.0, 'Mn': 7.0}",FALSE
Ti2Fe3Xe4,"['Ti', 'Fe', 'Xe']","['Ti - Metal', 'Fe - Metal', 'Xe - Non-Metal']","[1.54, 1.83, 2.6]",3,"{'Ti': 2.0, 'Fe': 3.0, 'Xe': 4.0}",TRUE
PtAt3,"['Pt', 'At']","['Pt - Metal', 'At - Non-Metal']","[2.28, 2.2]",2,"{'Pt': 1.0, 'At': 3.0}",FALSE
Pt2Ho3As5,"['Pt', 'Ho', 'As']","['Pt - Metal', 'Ho - Metal', 'As - Non-Metal']","[2.28, 1.23, 2.18]",3,"{'Pt': 2.0, 'Ho': 3.0, 'As': 5.0}",TRUE
BrH3,"['Br', 'H']","['Br - Non-Metal', 'H - Unknown']","[2.96, 2.2]",2,"{'Br': 1.0, 'H': 3.0}",FALSE
PoBe2Mo4,"['Po', 'Be', 'Mo']","['Po - Non-Metal', 'Be - Metal', 'Mo - Metal']","[2.0, 1.57, 2.16]",3,"{'Po': 1.0, 'Be': 2.0, 'Mo': 4.0}",TRUE
Mo2Xe2Os5,"['Mo', 'Xe', 'Os']","['Mo - Metal', 'Xe - Non-Metal', 'Os - Metal']","[2.16, 2.6, 2.2]",3,"{'Mo': 2.0, 'Xe': 2.0, 'Os': 5.0}",FALSE
Rh2Br5Cr6,"['Rh', 'Br', 'Cr']","['Rh - Metal', 'Br - Non-Metal', 'Cr - Metal']","[2.28, 2.96, 1.66]",3,"{'Rh': 2.0, 'Br': 5.0, 'Cr': 6.0}",FALSE
Zn2Eu2S5,"['Zn', 'Eu', 'S']","['Zn - Metal', 'Eu - Metal', 'S - Non-Metal']","[1.65, 1.2, 2.58]",3,"{'Zn': 2.0, 'Eu': 2.0, 'S': 5.0}",TRUE
Li2Ag2Na3Br3,"['Li', 'Ag', 'Na', 'Br']","['Li - Metal', 'Ag - Metal', 'Na - Metal', 'Br - Non-Metal']","[0.98, 1.93, 0.93, 2.96]",4,"{'Li': 2.0, 'Ag': 2.0, 'Na': 3.0, 'Br': 3.0}",TRUE
CSeCd5,"['C', 'Se', 'Cd']","['C - Non-Metal', 'Se - Non-Metal', 'Cd - Metal']","[2.55, 2.55, 1.69]",3,"{'C': 1.0, 'Se': 1.0, 'Cd': 5.0}",FALSE
IrS4Cd7,"['Ir', 'S', 'Cd']","['Ir - Metal', 'S - Non-Metal', 'Cd - Metal']","[2.2, 2.58, 1.69]",3,"{'Ir': 1.0, 'S': 4.0, 'Cd': 7.0}",FALSE
CAu,"['C', 'Au']","['C - Non-Metal', 'Au - Metal']","[2.55, 2.54]",2,"{'C': 1.0, 'Au': 1.0}",FALSE
PrXe2Os3,"['Pr', 'Xe', 'Os']","['Pr - Metal', 'Xe - Non-Metal', 'Os - Metal']","[1.13, 2.6, 2.2]",3,"{'Pr': 1.0, 'Xe': 2.0, 'Os': 3.0}",TRUE
I2Sc4Fe5,"['I', 'Sc', 'Fe']","['I - Non-Metal', 'Sc - Metal', 'Fe - Metal']","[2.66, 1.36, 1.83]",3,"{'I': 2.0, 'Sc': 4.0, 'Fe': 5.0}",TRUE
Cr2Po3Ti5,"['Cr', 'Po', 'Ti']","['Cr - Metal', 'Po - Non-Metal', 'Ti - Metal']","[1.66, 2.0, 1.54]",3,"{'Cr': 2.0, 'Po': 3.0, 'Ti': 5.0}",TRUE
MgBr4Co5,"['Mg', 'Br', 'Co']","['Mg - Metal', 'Br - Non-Metal', 'Co - Metal']","[1.31, 2.96, 1.88]",3,"{'Mg': 1.0, 'Br': 4.0, 'Co': 5.0}",TRUE
GeSmTc3Ir3Se4,"['Ge', 'Sm', 'Tc', 'Ir', 'Se']","['Ge - Non-Metal', 'Sm - Metal', 'Tc - Metal', 'Ir - Metal', 'Se - Non-Metal']","[2.01, 1.17, 1.9, 2.2, 2.55]",5,"{'Ge': 1.0, 'Sm': 1.0, 'Tc': 3.0, 'Ir': 3.0, 'Se': 4.0}",TRUE
RePb,"['Re', 'Pb']","['Re - Metal', 'Pb - Metal']","[1.9, 2.33]",2,"{'Re': 1.0, 'Pb': 1.0}",FALSE
ZrHf2Rh3Sb3,"['Zr', 'Hf', 'Rh', 'Sb']","['Zr - Metal', 'Hf - Metal', 'Rh - Metal', 'Sb - Non-Metal']","[1.33, 1.3, 2.28, 2.05]",4,"{'Zr': 1.0, 'Hf': 2.0, 'Rh': 3.0, 'Sb': 3.0}",TRUE
HgNb4Po6,"['Hg', 'Nb', 'Po']","['Hg - Metal', 'Nb - Metal', 'Po - Non-Metal']","[2.0, 1.6, 2.0]",3,"{'Hg': 1.0, 'Nb': 4.0, 'Po': 6.0}",TRUE
PuCmBi2,"['Pu', 'Cm', 'Bi']","['Pu - Metal', 'Cm - Metal', 'Bi - Metal']","[1.28, 1.3, 2.02]",3,"{'Pu': 1.0, 'Cm': 1.0, 'Bi': 2.0}",TRUE
BiO2Zn7,"['Bi', 'O', 'Zn']","['Bi - Metal', 'O - Non-Metal', 'Zn - Metal']","[2.02, 3.44, 1.65]",3,"{'Bi': 1.0, 'O': 2.0, 'Zn': 7.0}",FALSE
IrCfSe3Hg6,"['Ir', 'Cf', 'Se', 'Hg']","['Ir - Metal', 'Cf - Metal', 'Se - Non-Metal', 'Hg - Metal']","[2.2, 1.3, 2.55, 2.0]",4,"{'Ir': 1.0, 'Cf': 1.0, 'Se': 3.0, 'Hg': 6.0}",TRUE
BrIrRh2Ge3,"['Br', 'Ir', 'Rh', 'Ge']","['Br - Non-Metal', 'Ir - Metal', 'Rh - Metal', 'Ge - Non-Metal']","[2.96, 2.2, 2.28, 2.01]",4,"{'Br': 1.0, 'Ir': 1.0, 'Rh': 2.0, 'Ge': 3.0}",FALSE
IAu,"['I', 'Au']","['I - Non-Metal', 'Au - Metal']","[2.66, 2.54]",2,"{'I': 1.0, 'Au': 1.0}",FALSE
CrBi,"['Cr', 'Bi']","['Cr - Metal', 'Bi - Metal']","[1.66, 2.02]",2,"{'Cr': 1.0, 'Bi': 1.0}",TRUE
NTe2Tl3Co4,"['N', 'Te', 'Tl', 'Co']","['N - Non-Metal', 'Te - Non-Metal', 'Tl - Metal', 'Co - Metal']","[3.04, 2.1, 1.62, 1.88]",4,"{'N': 1.0, 'Te': 2.0, 'Tl': 3.0, 'Co': 4.0}",FALSE
KrBe3V5,"['Kr', 'Be', 'V']","['Kr - Non-Metal', 'Be - Metal', 'V - Metal']","[3.0, 1.57, 1.63]",3,"{'Kr': 1.0, 'Be': 3.0, 'V': 5.0}",TRUE
CmHo2Sb3,"['Cm', 'Ho', 'Sb']","['Cm - Metal', 'Ho - Metal', 'Sb - Non-Metal']","[1.3, 1.23, 2.05]",3,"{'Cm': 1.0, 'Ho': 2.0, 'Sb': 3.0}",TRUE
Sc3Po3Ir5,"['Sc', 'Po', 'Ir']","['Sc - Metal', 'Po - Non-Metal', 'Ir - Metal']","[1.36, 2.0, 2.2]",3,"{'Sc': 3.0, 'Po': 3.0, 'Ir': 5.0}",TRUE
AsS5V6,"['As', 'S', 'V']","['As - Non-Metal', 'S - Non-Metal', 'V - Metal']","[2.18, 2.58, 1.63]",3,"{'As': 1.0, 'S': 5.0, 'V': 6.0}",FALSE
CeCl3Ir3,"['Ce', 'Cl', 'Ir']","['Ce - Metal', 'Cl - Non-Metal', 'Ir - Metal']","[1.12, 3.16, 2.2]",3,"{'Ce': 1.0, 'Cl': 3.0, 'Ir': 3.0}",FALSE
NPoBr2Fe5,"['N', 'Po', 'Br', 'Fe']","['N - Non-Metal', 'Po - Non-Metal', 'Br - Non-Metal', 'Fe - Metal']","[3.04, 2.0, 2.96, 1.83]",4,"{'N': 1.0, 'Po': 1.0, 'Br': 2.0, 'Fe': 5.0}",FALSE
HgIr2F3Fe6,"['Hg', 'Ir', 'F', 'Fe']","['Hg - Metal', 'Ir - Metal', 'F - Non-Metal', 'Fe - Metal']","[2.0, 2.2, 3.98, 1.83]",4,"{'Hg': 1.0, 'Ir': 2.0, 'F': 3.0, 'Fe': 6.0}",FALSE
HNo2I5,"['H', 'No', 'I']","['H - Unknown', 'No - Metal', 'I - Non-Metal']","[2.2, 1.3, 2.66]",3,"{'H': 1.0, 'No': 2.0, 'I': 5.0}",TRUE
TcP2Mo2,"['Tc', 'P', 'Mo']","['Tc - Metal', 'P - Non-Metal', 'Mo - Metal']","[1.9, 2.19, 2.16]",3,"{'Tc': 1.0, 'P': 2.0, 'Mo': 2.0}",TRUE
GePo2Fe6,"['Ge', 'Po', 'Fe']","['Ge - Non-Metal', 'Po - Non-Metal', 'Fe - Metal']","[2.01, 2.0, 1.83]",3,"{'Ge': 1.0, 'Po': 2.0, 'Fe': 6.0}",TRUE
NiTe2,"['Ni', 'Te']","['Ni - Metal', 'Te - Non-Metal']","[1.91, 2.1]",2,"{'Ni': 1.0, 'Te': 2.0}",TRUE
IrBkSc3S4,"['Ir', 'Bk', 'Sc', 'S']","['Ir - Metal', 'Bk - Metal', 'Sc - Metal', 'S - Non-Metal']","[2.2, 1.3, 1.36, 2.58]",4,"{'Ir': 1.0, 'Bk': 1.0, 'Sc': 3.0, 'S': 4.0}",TRUE
As2Po3,"['As', 'Po']","['As - Non-Metal', 'Po - Non-Metal']","[2.18, 2.0]",2,"{'As': 2.0, 'Po': 3.0}",TRUE
Ni2At2Pt7,"['Ni', 'At', 'Pt']","['Ni - Metal', 'At - Non-Metal', 'Pt - Metal']","[1.91, 2.2, 2.28]",3,"{'Ni': 2.0, 'At': 2.0, 'Pt': 7.0}",FALSE
OsN3,"['Os', 'N']","['Os - Metal', 'N - Non-Metal']","[2.2, 3.04]",2,"{'Os': 1.0, 'N': 3.0}",FALSE
SeZrNi6Re6,"['Se', 'Zr', 'Ni', 'Re']","['Se - Non-Metal', 'Zr - Metal', 'Ni - Metal', 'Re - Metal']","[2.55, 1.33, 1.91, 1.9]",4,"{'Se': 1.0, 'Zr': 1.0, 'Ni': 6.0, 'Re': 6.0}",TRUE
LiCoZrBi2Sn4,"['Li', 'Co', 'Zr', 'Bi', 'Sn']","['Li - Metal', 'Co - Metal', 'Zr - Metal', 'Bi - Metal', 'Sn - Metal']","[0.98, 1.88, 1.33, 2.02, 1.96]",5,"{'Li': 1.0, 'Co': 1.0, 'Zr': 1.0, 'Bi': 2.0, 'Sn': 4.0}",TRUE
PoO6,"['Po', 'O']","['Po - Non-Metal', 'O - Non-Metal']","[2.0, 3.44]",2,"{'Po': 1.0, 'O': 6.0}",FALSE
As2Dy3Ge5,"['As', 'Dy', 'Ge']","['As - Non-Metal', 'Dy - Metal', 'Ge - Non-Metal']","[2.18, 1.22, 2.01]",3,"{'As': 2.0, 'Dy': 3.0, 'Ge': 5.0}",TRUE
TlPo2S3,"['Tl', 'Po', 'S']","['Tl - Metal', 'Po - Non-Metal', 'S - Non-Metal']","[1.62, 2.0, 2.58]",3,"{'Tl': 1.0, 'Po': 2.0, 'S': 3.0}",TRUE
BCl,"['B', 'Cl']","['B - Non-Metal', 'Cl - Non-Metal']","[2.04, 3.16]",2,"{'B': 1.0, 'Cl': 1.0}",FALSE
Cr2Zr2Po2V3Cd3,"['Cr', 'Zr', 'Po', 'V', 'Cd']","['Cr - Metal', 'Zr - Metal', 'Po - Non-Metal', 'V - Metal', 'Cd - Metal']","[1.66, 1.33, 2.0, 1.63, 1.69]",5,"{'Cr': 2.0, 'Zr': 2.0, 'Po': 2.0, 'V': 3.0, 'Cd': 3.0}",TRUE
CrAsRh3,"['Cr', 'As', 'Rh']","['Cr - Metal', 'As - Non-Metal', 'Rh - Metal']","[1.66, 2.18, 2.28]",3,"{'Cr': 1.0, 'As': 1.0, 'Rh': 3.0}",TRUE
Cl2Si3Sc4,"['Cl', 'Si', 'Sc']","['Cl - Non-Metal', 'Si - Non-Metal', 'Sc - Metal']","[3.16, 1.9, 1.36]",3,"{'Cl': 2.0, 'Si': 3.0, 'Sc': 4.0}",FALSE
